,player_id,team,has_ball,kr_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2
59,SDG,1,False,신대근,889.4288330078125,157.39849853515625,968.7320556640625,313.776611328125
60,SHW,0,False,서한울,329.26605224609375,232.80697631835938,407.5257263183594,448.0821533203125
61,KSI,0,False,김성일,419.4921569824219,189.6238555908203,479.4211120605469,339.6140441894531
62,KDW,0,False,강동욱,766.7322387695312,172.28924560546875,821.2152099609375,360.66705322265625
63,KYS,0,False,가윤성,654.9375,135.1067352294922,705.2596435546875,264.0165710449219
64,OJY,1,True,오지영,902.7710571289062,276.2593078613281,1054.2109375,530.2059936523438
65,SMJ,1,False,손명준,280.4083557128906,98.3595962524414,358.16729736328125,328.1744384765625
66,KSW,1,False,김성욱,483.77618408203125,89.93146514892578,542.6782836914062,220.79110717773438
67,SDG,1,False,신대근,891.4867553710938,157.70738220214844,969.71337890625,312.4400634765625
68,SHW,0,False,서한울,330.1297302246094,232.83111572265625,407.25274658203125,446.0519714355469
69,KSI,0,False,김성일,419.59649658203125,189.63796997070312,479.4798583984375,339.5365905761719
70,KDW,0,False,강동욱,765.0056762695312,171.9139404296875,821.2677001953125,359.70257568359375
71,KYS,0,False,가윤성,655.0962524414062,135.12693786621094,705.4278564453125,263.93463134765625
72,OJY,1,True,오지영,910.2164306640625,279.5015563964844,1056.366943359375,523.5469970703125
73,SMJ,1,False,손명준,280.917724609375,98.16996002197266,358.7393798828125,328.0687561035156
74,KSW,1,False,김성욱,483.7947082519531,90.0771713256836,542.635986328125,220.78732299804688
75,SDG,1,False,신대근,894.5339965820312,159.57455444335938,972.1925659179688,312.63580322265625
76,SHW,0,False,서한울,330.6656799316406,231.5691680908203,407.40167236328125,444.92803955078125
77,KSI,0,False,김성일,419.5177917480469,189.58914184570312,479.3960266113281,339.5623474121094
78,KDW,0,False,강동욱,764.7243041992188,172.4219207763672,822.9983520507812,360.1416320800781
79,KYS,0,False,가윤성,654.9444580078125,134.9844207763672,705.46044921875,264.2560119628906
80,OJY,1,False,오지영,911.2298583984375,280.9119567871094,1064.960693359375,537.5851440429688
81,SMJ,1,False,손명준,281.1009216308594,97.52944946289062,359.2311096191406,328.19146728515625
82,KSW,1,False,김성욱,484.2517395019531,90.12484741210938,542.9340209960938,220.5666961669922
83,SDG,1,False,신대근,897.8095092773438,162.57827758789062,975.8466186523438,314.833740234375
84,SHW,0,False,서한울,330.94207763671875,230.5656280517578,407.7379150390625,445.6689453125
85,KSI,0,False,김성일,419.3996887207031,189.64108276367188,479.2536926269531,339.62969970703125
86,KDW,0,False,강동욱,767.9274291992188,172.81988525390625,829.1185913085938,363.7742004394531
87,KYS,0,False,가윤성,654.8295288085938,134.8830108642578,705.48291015625,264.5322570800781
88,OJY,1,False,오지영,904.93603515625,286.161376953125,1067.442626953125,553.2093505859375
89,SMJ,1,False,손명준,280.43170166015625,99.71340942382812,358.0986328125,328.2213439941406
90,KSW,1,False,김성욱,484.4299621582031,90.17039489746094,543.042724609375,220.50396728515625
91,SDG,1,False,신대근,902.5568237304688,166.01043701171875,981.4603881835938,316.74786376953125
92,SHW,0,False,서한울,331.60906982421875,229.69325256347656,408.35614013671875,446.3964538574219
93,KSI,0,False,김성일,419.2873229980469,189.50584411621094,479.1833801269531,339.66632080078125
94,KDW,0,False,강동욱,773.5935668945312,173.70159912109375,837.26025390625,365.875
95,KYS,0,False,가윤성,654.8310546875,134.910400390625,705.5003051757812,264.6357727050781
96,OJY,1,False,오지영,895.6803588867188,301.0101318359375,1061.134765625,563.261474609375
97,SMJ,1,False,손명준,278.0472412109375,101.5301284790039,356.2883605957031,330.0927429199219
98,KSW,1,False,김성욱,484.9190979003906,91.1412124633789,543.09521484375,220.43951416015625
99,SDG,1,False,신대근,909.3818969726562,172.57322692871094,988.1178588867188,316.9307861328125
100,SHW,0,False,서한울,332.65789794921875,229.32611083984375,408.9270324707031,446.2383117675781
101,KSI,0,False,김성일,419.0664367675781,189.51564025878906,478.925048828125,339.66107177734375
102,KDW,0,False,강동욱,782.6787109375,175.10330200195312,847.0877075195312,365.906005859375
103,KYS,0,False,가윤성,654.8121337890625,135.07534790039062,705.52978515625,264.9859313964844
104,OJY,1,False,오지영,901.2320556640625,315.0978698730469,1066.94775390625,563.5310668945312
105,SMJ,1,False,손명준,275.09564208984375,108.11125183105469,352.3262023925781,330.67413330078125
106,KSW,1,False,김성욱,485.9081726074219,92.35140228271484,543.7649536132812,220.5435333251953
107,SDG,1,False,신대근,923.026611328125,180.4669189453125,1001.0481567382812,317.36187744140625
108,SHW,0,False,서한울,333.2171630859375,228.64915466308594,409.3021545410156,446.3379211425781
109,KSI,0,False,김성일,418.86151123046875,189.69200134277344,478.5763854980469,339.6468811035156
110,KDW,0,False,강동욱,788.73974609375,174.86080932617188,854.4615478515625,366.2427062988281
111,KYS,0,False,가윤성,654.7664184570312,135.02752685546875,705.55908203125,265.2159729003906
112,OJY,1,False,오지영,913.666748046875,317.1053466796875,1084.8787841796875,561.59423828125
113,SMJ,1,False,손명준,270.8730773925781,113.00475311279297,347.6109619140625,330.98974609375
114,KSW,1,False,김성욱,488.73126220703125,94.11389923095703,546.585205078125,220.810546875
115,SDG,1,False,신대근,943.4705810546875,184.30889892578125,1026.9801025390625,327.5253601074219
116,SHW,0,False,서한울,334.24713134765625,227.69537353515625,409.4923095703125,443.9131164550781
117,KSI,0,False,김성일,418.1024169921875,190.33116149902344,477.5228576660156,339.82177734375
118,KDW,0,False,강동욱,792.5839233398438,175.1033935546875,859.8705444335938,366.6248474121094
119,KYS,0,False,가윤성,654.7943115234375,135.05963134765625,705.5316162109375,265.15753173828125
120,SMJ,1,False,손명준,267.12823486328125,118.05685424804688,343.92816162109375,333.7488708496094
121,KSW,1,False,김성욱,492.61212158203125,94.83346557617188,550.5947265625,220.80641174316406
122,SDG,1,False,신대근,960.1635131835938,191.59889221191406,1047.8079833984375,336.7176818847656
123,SHW,0,False,서한울,336.9541320800781,225.07785034179688,410.2392883300781,435.12286376953125
124,KSI,0,False,김성일,416.8237609863281,190.50575256347656,475.42364501953125,338.5083312988281
125,KDW,0,False,강동욱,796.5594482421875,174.8213348388672,865.1414794921875,366.5850830078125
